thermal_demand_MW,electricity_price_Euro_Per_MWh,co2_price,gas_price_Euro_Per_MWh,biomass_Euro_Per_MWh
5.36336633,45.11,61.95,27.785,20
5.49074865,51.01,61.95,27.785,20
5.83488902,59.39,61.95,27.785,20
5.98757751,66.05,61.95,27.785,20
5.99449067,89.02,61.95,27.785,20
6.22577445,85.25,61.95,27.785,20
6.28120304,81.35,61.95,27.785,20
6.18585733,76.22,61.95,27.785,20
6.23811101,73.05,61.95,27.785,20
6.28238356,75.88,61.95,27.785,20
6.18647047,83.88,61.95,27.785,20
6.60066206,87.34,61.95,27.785,20
6.63260619,95.36,61.95,27.785,20
6.69922989,117.85,61.95,27.785,20
6.79152775,113.84,61.95,27.785,20
6.55335341,93.52,61.95,27.785,20
6.36257062,85.69,61.95,27.785,20
6.09220852,81.41,61.95,27.785,20
5.79641426,76.38,61.95,27.785,20
5.71202376,70.89,61.95,27.785,20
5.66499198,60.64,61.95,28.079,20
5.71911921,57.37,61.95,28.079,20
5.82692996,54.28,61.95,28.079,20
5.93633584,52.05,61.95,28.079,20
5.95643192,50.91,61.95,28.079,20
6.05476825,47.95,61.95,28.079,20
6.27904175,52.68,61.95,28.079,20
6.56106724,56.91,61.95,28.079,20
6.8753923,58.6,61.95,28.079,20
6.93076387,57.51,61.95,28.079,20
6.76805655,55.49,61.95,28.079,20
6.80090178,53.4,61.95,28.079,20
6.66610271,48.59,61.95,28.079,20
6.59345321,44,61.95,28.079,20
6.72941843,45.8,61.95,28.079,20
6.74636202,45.17,61.95,28.079,20
6.4139167,47.39,61.95,28.079,20
6.43604827,52.09,61.95,28.079,20
6.61580481,50.64,61.95,28.079,20
6.44911896,33.51,61.95,28.079,20
6.32115643,27.58,61.95,28.079,20
6.3194592,25.76,61.95,28.079,20
6.26164345,24.39,61.95,28.079,20
6.1807783,21.98,61.95,28.079,20
6.12317854,19.32,61.95,28.079,20
6.00040156,18.26,61.95,28.079,20
5.8592431,17.63,61.95,28.079,20
5.62286233,18.02,61.95,28.079,20
5.83042963,18.49,61.95,28.079,20
6.23601907,18.84,61.95,28.079,20
6.49130378,19.41,61.95,28.079,20
6.54983528,20.71,61.95,28.079,20
6.73865504,21,61.95,28.079,20
7.0682909,21.03,61.95,28.079,20
7.19563207,21.13,61.95,28.079,20
7.23768836,21.02,61.95,28.079,20
7.09084013,20.53,61.95,28.079,20
7.13121555,20.08,61.95,28.079,20
7.08418909,20.03,61.95,28.079,20
7.42379291,20.17,61.95,28.079,20
7.37039285,20.33,61.95,28.079,20
7.50254257,27.32,61.95,28.079,20
7.7323608,23.02,61.95,28.079,20
7.65693291,18.62,61.95,28.079,20
7.39254824,15.13,61.95,28.079,20
7.22820111,10.14,61.95,28.079,20
7.02867328,3.48,61.95,28.079,20
6.78192029,2.76,61.95,28.079,20
6.53625562,0.01,61.95,28.079,20
6.39463241,2.62,61.95,28.079,20
6.26196125,3.48,61.95,28.079,20
5.99582238,11.48,61.95,28.079,20
6.08057093,15.05,61.95,28.079,20
6.31545589,16.34,61.95,28.079,20
6.53910631,18.22,61.95,28.079,20
6.72362644,18.76,61.95,28.079,20
6.7094354,25.66,61.95,28.079,20
7.01769462,24.89,61.95,28.079,20
7.05991145,24.1,61.95,28.079,20
6.96056979,23.07,61.95,28.079,20
6.85065533,22.13,61.95,28.079,20
6.76306561,21.54,61.95,28.079,20
6.63983855,22.21,61.95,28.079,20
6.54010344,24.09,61.95,28.079,20
6.42483981,25.03,61.95,28.079,20
6.44491237,25.05,61.95,28.079,20
6.6676537,24.83,61.95,28.079,20
6.58684872,13.42,61.95,28.079,20
6.59319807,1.97,61.95,28.079,20
6.36404984,0.01,61.95,28.079,20
6.21292298,-0.01,61.95,28.079,20
6.01067572,-0.31,61.95,28.079,20
6.11004695,-0.42,60.81,28.175,20
6.02436175,-1.72,60.81,28.175,20
6.09236758,-1.78,60.81,28.175,20
6.13841091,-1.77,60.81,28.175,20
6.09329235,-1.41,60.81,28.175,20
6.16801348,-0.11,60.81,28.175,20
6.54479817,5.91,60.81,28.175,20
6.60556374,19.17,60.81,28.175,20
7.0837266,20.56,60.81,28.175,20
7.24343971,30.36,60.81,28.175,20
